,sa12018_v1,lat,lon
0,7025363,-43.517365498209635,172.6089454453848
1,7025367,-43.519851475249475,172.6100954577404
2,7025369,-43.52212228735377,172.60760836662533
3,7025527,-43.516556835808395,172.61214137952777
4,7025528,-43.51889719903828,172.61324459634292
5,7025529,-43.52131777470866,172.61156933641396
6,7025530,-43.52178298679902,172.6150030039785
7,7025531,-43.5305381963301,172.61981235190925
8,7025524,-43.52029806401274,172.61748300511178
9,7025525,-43.52125935062855,172.61980311267362
10,7025375,-43.52477019294349,172.61008312876584
11,7025532,-43.52784071263561,172.6104159708242
12,7025384,-43.53352028142164,172.60770080568653
13,7025385,-43.53144919894587,172.60941537276454
14,7025386,-43.53352953123871,172.6097083085802
15,7025403,-43.53895344867403,172.6048660753602
16,7025533,-43.52968456866452,172.61052274007844
17,7025537,-43.53545752017296,172.6109214259621
18,7025534,-43.531239327099854,172.61053295421544
19,7025536,-43.53351612553672,172.61052384580003
20,7025539,-43.54109089268533,172.61528621773112
21,7025541,-43.54221770989613,172.61082521578652
22,7025407,-43.54376430647957,172.60914621038188
23,7025545,-43.54446575979997,172.61258307573308
24,7025547,-43.54629995024469,172.61147077527482
25,7025409,-43.54668814624279,172.6087107390967
26,7025557,-43.54841781676115,172.6116399073803
27,7025416,-43.55002355284402,172.6097827123946
28,7025563,-43.550295250610546,172.61238319440838
29,7025519,-43.51630122255225,172.61728960934963
30,7025521,-43.51773052438892,172.615698257883
31,7025522,-43.5189021452797,172.6204422309741
32,7025523,-43.51935443680684,172.6191703045048
33,7025526,-43.52145108972129,172.62210335314535
34,7025654,-43.517805582605476,172.6232263564402
35,7025656,-43.52023176661444,172.62327593054204
36,7025655,-43.519791088973136,172.62590957641825
37,7025535,-43.53257276862656,172.6115209188941
38,7025538,-43.53919424297539,172.62049766347585
39,7025540,-43.5415326371739,172.622181379009
40,7025671,-43.519681884319205,172.62848358011874
41,7025682,-43.52260700064667,172.62877362984912
42,7025683,-43.5254945027004,172.63234792001822
43,7025684,-43.527697723185625,172.63077274743245
44,7025685,-43.53040746488609,172.62909955577055
