id_orig,medical_clinic,primary_school,supermarket
7024050,8815.9,9092.6,10615.8
7024059,8788.7,9065.4,10588.6
7024168,10025.1,9556.7,11825.1
7024172,8656.1,8932.8,10456.0
7024174,9232.2,9508.9,11032.1
7024175,7434.7,7711.4,9234.6
7024176,9085.8,9362.5,10885.7
7024177,7107.8,7384.4,8907.7
7024178,8503.6,8780.2,10303.5
7024179,8657.7,8934.3,10457.6
7024180,7913.2,8189.9,9713.1
7024181,8314.6,8591.2,10114.5
7024182,7390.2,7666.9,9190.1
7024183,8807.9,9084.6,10607.8
7024184,8357.5,8634.2,10157.4
7024185,8042.7,8319.4,9842.6
7024186,8055.6,8332.3,9855.5
7024187,9370.6,9647.3,11170.5
7024188,7733.8,8010.5,9533.8
7024189,7396.9,7673.6,9196.8
7024190,7735.6,8012.2,9535.5
7024191,7677.3,7954.0,9477.2
7024192,7523.2,7799.8,9323.1
7024193,7516.8,7793.5,9316.7
7024194,7245.3,7522.0,9045.2
7024195,7975.5,8252.2,9775.4
7024196,7890.8,8167.5,9690.7
7024197,7451.2,7727.9,9251.1
7024198,8188.7,8465.4,9988.6
7024199,7278.0,7554.7,9077.9
7024200,7657.8,7934.4,9457.7
7024204,10312.4,10589.1,12112.3
7024205,9282.7,9559.4,11082.7
7024206,10351.8,10628.5,12151.7
7024207,8718.1,8994.8,10518.0
7024208,9476.1,9752.8,11276.0
7024209,9540.6,9817.3,11340.5
7024210,9612.7,9889.4,11412.6
7024211,9594.4,9871.1,11394.3
7024212,8161.5,8438.2,9961.4
7024213,8452.7,8729.4,10252.6
7024214,8068.9,8345.6,9868.8
7024215,8278.7,8555.4,10078.6
7024216,8330.6,8607.2,10130.5
7024217,7672.8,7949.5,9472.8
7024218,7499.9,7776.6,9299.8
7024219,7942.7,8219.4,9742.7
7024220,7502.8,7779.5,9302.7
7024221,7651.2,7927.9,9451.1
7024222,8176.7,8453.4,9976.6
7024223,7157.9,7434.6,8957.8
7024224,6919.0,7195.7,8718.9
7024225,7289.3,7566.0,9089.2
7024226,6322.4,6599.1,8122.4
7024227,7480.4,7757.1,9280.3
7024228,7167.9,7444.6,8967.8
7024229,7027.5,7304.2,8827.4
